Hiatus_Size,AVW_Length,Apical_Shift,CL_Strain,US_Strain,CL_Material,US_Material,Levator_Plate_PC1,Levator_Plate_PC2
44.7567146,0.985394174,-1.616595316,-0.015096559,0.011326518,64.97463705,150.962975,17.65308959,25.84690025
29.8749887,1.18367592,0.536792093,-0.051892252,-0.02148018,246.4655447,75.05037342,-3.853430198,-6.018905884
39.3006975,1.246849267,-1.483833753,0.024866418,0.013078557,151.5576398,229.6877286,3.742004515,11.89636492
35.83364272,1.127820089,-0.867051982,-0.055394781,-0.018379748,246.524018,130.1200813,-6.201669324,0.201583046
31.91554294,0.404114714,0.515602367,0.066662215,0.039769571,158.4060053,238.131261,-9.083305781,-23.10653939
36.45434793,1.134530329,-0.398337202,0.011452167,0.017286972,303.4970652,160.1760282,10.5664074,8.313870797
31.19872736,0.962551802,0.822313326,0.047305715,0.013982113,311.7243323,249.9734368,-11.98993763,-6.604511704
39.46837268,1.027094702,-0.782558328,-0.007050903,-0.001858088,377.7809963,257.199583,7.879344727,15.18056031
39.3351387,0.907232952,0.855840457,-0.048146421,-0.005389936,309.4741907,207.0813778,-8.77739181,15.19121283
25.82160404,0.979153176,4.601847954,-0.02949723,-0.008786212,226.1529021,319.0078456,1.618908039,-10.59246151
24.07132409,0.970472804,5.672062505,0.033615903,0.002004146,181.3102018,186.1686657,2.677926388,-14.48569234
49.72847187,1.563709543,-1.368470245,0.00810901,0.012105692,395.4888499,394.3362455,25.81695584,17.36708728
34.21496763,0.931233816,-1.930754796,0.050506335,0.033172633,310.7004583,180.2950932,-1.74953894,-8.726544642
48.87962598,1.106304812,-3.513262212,0.016562807,0.009025455,287.3684891,246.4689978,14.1979033,14.28412034
30.15073613,0.80376375,1.336525737,-0.014860829,-0.00073214,191.9017729,243.6035076,-9.166158341,-11.18858148
27.97749992,0.987411404,-0.142994018,0.017483414,0.004480857,286.3241505,397.4384647,-9.124472759,-12.75894695
30.888939,0.764524943,-3.225542644,-0.089897936,-0.038931804,271.1630939,114.7292509,2.229088072,-13.14597069
40.813019,1.021748368,3.194678163,0.002379266,0.016732228,85.84890836,165.5673609,26.01131983,18.61034227
28.52468531,0.978363781,-0.844368642,-0.000755245,0.003029271,67.36899902,366.5487077,-23.35261108,-6.169816027
36.96682262,0.946246938,3.53736297,0.022747747,0.020903552,326.6207084,329.505047,12.20818298,12.89846595
