File Name,Part3_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3
Part1_E(1.54)Part3_E(1.33)Part7_E(2.16)Part10_E(1.21)Part11_E(2.36),1.33,0.015,1.25,1.75,1.2553363574925758,1.2560068051270497,1.2567121537143802,-2.262178625,-2.262988744,-2.263427652
Part1_E(2.38)Part3_E(1.38)Part7_E(1.19)Part10_E(1.05)Part11_E(1.28),1.38,0.015,1.25,1.75,1.262307682796747,1.2626474241996666,1.2635285419547508,-2.270000159,-2.270385464,-2.27083713
Part1_E(1.5)Part3_E(2.31)Part7_E(1.18)Part10_E(1.18)Part11_E(2.38),2.31,0.015,1.25,1.75,1.2511664626119516,1.251569069772314,1.2519817612009352,-2.261009808,-2.261481911,-2.261698749
Part1_E(1.82)Part3_E(1.84)Part7_E(1.32)Part10_E(2.17)Part11_E(1.54),1.84,0.015,1.25,1.75,1.257082062202251,1.2574799799396137,1.2580708443216566,-2.266309325,-2.266599507,-2.267190442
Part1_E(1.92)Part3_E(1.83)Part7_E(1.71)Part10_E(1.42)Part11_E(1.15),1.83,0.015,1.25,1.75,1.260133718338366,1.2604579652739474,1.261079872511045,-2.26960839,-2.269925505,-2.270245658
Part1_E(2.44)Part3_E(2.11)Part7_E(1.45)Part10_E(2.27)Part11_E(1.1),2.11,0.015,1.25,1.75,1.2578180854592245,1.2580524639897082,1.2586040242394647,-2.268004015,-2.268227549,-2.268456051
Part1_E(1.91)Part3_E(2.25)Part7_E(2.03)Part10_E(1.84)Part11_E(1.54),2.25,0.015,1.25,1.75,1.2546539266010983,1.254977963526969,1.2554522742212295,-2.264833403,-2.265048275,-2.265519348
Part1_E(2.18)Part3_E(1.46)Part7_E(2.38)Part10_E(1.12)Part11_E(1.86),1.46,0.015,1.25,1.75,1.2569218405572014,1.2573865263199575,1.2581428040468925,-2.264611818,-2.264976779,-2.265749898
Part1_E(1.87)Part3_E(1.56)Part7_E(1.79)Part10_E(2.5)Part11_E(2.46),1.56,0.015,1.25,1.75,1.2534076982717486,1.2539448240047326,1.2545785022824076,-2.261193021,-2.261774209,-2.262269383
Part1_E(1.32)Part3_E(2.21)Part7_E(2.36)Part10_E(1.1)Part11_E(2.31),2.21,0.015,1.25,1.75,1.2519368043185517,1.2523730694071122,1.2527956904334083,-2.261615516,-2.262157772,-2.262331611
Part1_E(1.16)Part3_E(1.82)Part7_E(1.06)Part10_E(2.29)Part11_E(2.08),1.82,0.015,1.25,1.75,1.2548059471648736,1.255348717,1.2558660518520444,-2.26365876,-2.264341227,-2.264564438
Part1_E(1.28)Part3_E(1.61)Part7_E(2.14)Part10_E(2.24)Part11_E(1.92),1.61,0.015,1.25,1.75,1.2567228261173593,1.2573010719158737,1.2579124683113876,-2.264994335,-2.265661078,-2.266060252
Part1_E(1.69)Part3_E(2.35)Part7_E(1.27)Part10_E(1.56)Part11_E(1.19),2.35,0.015,1.25,1.75,1.2565245631863524,1.2568256675171956,1.2572576887369658,-2.267137616,-2.267381187,-2.267712775
Part1_E(2.18)Part3_E(2.32)Part7_E(2.4)Part10_E(1.75)Part11_E(2.42),2.32,0.015,1.25,1.75,1.2504552728174858,1.2508041503720368,1.2512532759569694,-2.26029681,-2.260590211,-2.26102691
Part1_E(2.37)Part3_E(1.79)Part7_E(1.3)Part10_E(1.23)Part11_E(1.73),1.79,0.015,1.25,1.75,1.255560071259384,1.2559325502489669,1.2565643385102605,-2.264484525,-2.264807658,-2.265330817
Part1_E(1.48)Part3_E(1.99)Part7_E(1.38)Part10_E(2.23)Part11_E(1.26),1.99,0.015,1.25,1.75,1.2586268673979404,1.2590072906695706,1.2595284634425106,-2.268465685,-2.268740022,-2.269252703
Part1_E(1.35)Part3_E(1.68)Part7_E(2.27)Part10_E(2.3)Part11_E(2.38),1.68,0.015,1.25,1.75,1.2537807139171329,1.2543560196570671,1.2549092561506896,-2.262045272,-2.262775346,-2.263015343
Part1_E(2.42)Part7_E(1.32)Part10_E(2.37)Part11_E(1.41),1.0,0.015,1.25,1.75,1.2649203342907775,1.265340378668464,1.2665312437179688,-2.270089037,-2.270632039,-2.271318866
Part1_E(1.23)Part3_E(1.1)Part7_E(1.22)Part10_E(2.45)Part11_E(1.56),1.1,0.015,1.25,1.75,1.2639691292547564,1.2647437595144753,1.265667068191242,-2.269961965,-2.270800348,-2.271596885
Part1_E(2)Part3_E(1.79)Part7_E(1.53)Part10_E(2.35)Part11_E(1.33),1.79,0.015,1.25,1.75,1.2587752717097451,1.2591230269222569,1.259765532360419,-2.267981384,-2.268321451,-2.268685816
Part1_E(2.27)Part3_E(1.36)Part7_E(1.11)Part10_E(1.45)Part11_E(1.78),1.36,0.015,1.25,1.75,1.2580574794914443,1.2585485759165802,1.259335660113673,-2.265357385,-2.26565497,-2.266595132
Part1_E(2.19)Part3_E(1.65)Part7_E(2.09)Part10_E(1.64)Part11_E(1.75),1.65,0.015,1.25,1.75,1.2564376087890277,1.2568685108499018,1.2575205582079227,-2.264931228,-2.265227725,-2.26591423
Part1_E(1.89)Part3_E(1.59)Part7_E(1.72)Part10_E(1.72)Part11_E(1.46),1.59,0.015,1.25,1.75,1.2593534664943236,1.2598029875831824,1.260472379617145,-2.267858572,-2.268110286,-2.26890433
Part1_E(1.38)Part3_E(2.05)Part7_E(1.17)Part10_E(1.94)Part11_E(2.1),2.05,0.015,1.25,1.75,1.253380792308666,1.2538344437026463,1.2543083169464986,-2.262811748,-2.263330946,-2.263616158
