File Name,Part1_E,Part3_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,outer_y1,outer_y2,outer_y3,innerShape_x1,innerShape_x2,innerShape_x3
Part1_E(1.01)Part3_E(1.11)Part11_E(1.56),1.01,1.11,1.56,0.015,1.25,1.75,1.2643569546161906,1.265208895736033,1.2660965456661053,-2.270441548284191,-2.271452596978739,-2.2720647500854074,0.180018466432412,-0.7288722093292799,-1.2701204457073945
Part1_E(1.89)Part3_E(1.65)Part11_E(1.2),1.89,1.65,1.2,0.015,1.25,1.75,1.2612437307976938,1.2616066941932345,1.2623042671411222,-2.270121956351564,-2.270486318554037,-2.2708680154405227,0.1783367947061245,-0.7222255733296735,-1.2579869242325965
Part1_E(1.52)Part3_E(2.31)Part11_E(2.17),1.52,2.31,2.17,0.015,1.25,1.75,1.2519030260560224,1.2522942495170244,1.252716996489871,-2.2618434599119164,-2.2622676934124755,-2.262548331083011,-0.1767377191450301,0.7223264235917174,1.2582299234689185
Part1_E(1.18)Part3_E(1.41)Part11_E(2.38),1.18,1.41,2.38,0.015,1.25,1.75,1.2552646014121445,1.2559805812769562,1.2566068497323828,-2.262495365289172,-2.263460574613588,-2.263643787683601,-0.1771945201295209,0.7286464959621529,1.2701123397195009
Part1_E(1.58)Part3_E(1.1)Part11_E(2.16),1.58,1.1,2.16,0.015,1.25,1.75,1.2578344061099602,1.2585870743660028,1.2594518573479652,-2.2634167255508566,-2.264289053055712,-2.2649545891918463,0.1792755724452263,-0.7266344981054356,-1.2662857558423275
Part1_E(1.86)Part3_E(1.22)Part11_E(2.42),1.86,1.22,2.42,0.015,1.25,1.75,1.2551870231821072,1.255841738585714,1.2566270103512294,-2.261388934334175,-2.2621208448030474,-2.262753842636949,0.1789095025262412,-0.7248742353501196,-1.2631627141206312
Part1_E(1.61)Part3_E(1.39)Part11_E(1.99),1.61,1.39,1.99,0.015,1.25,1.75,1.2571684316695328,1.2577666675793973,1.25849756818905,-2.2644938723426336,-2.26511812578241,-2.265748894958434,0.1788983912211659,-0.7242865359330292,-1.2619810861971266
Part1_E(1.43)Part3_E(2.04)Part11_E(1.73),1.43,2.04,1.73,0.015,1.25,1.75,1.2552341528706028,1.25565854601342,1.2561549591167036,-2.264852512689257,-2.2652575663350296,-2.2656867214716785,-0.1768199603413698,0.7235855194829401,1.260430418177791
Part1_E(2.4)Part3_E(2.02)Part11_E(1.82),2.4,2.02,1.82,0.015,1.25,1.75,1.253832984666829,1.2541881745814816,1.2547213669904538,-2.2633381227667195,-2.263553562040331,-2.2641146194795376,-0.1767304400901394,0.7218664795892231,1.2575435059885274
Part1_E(1.56)Part3_E(1.39)Part11_E(1.1),1.56,1.39,1.1,0.015,1.25,1.75,1.2656919245600935,1.2661464049009408,1.2669591428194202,-2.2736632082027954,-2.274129518725584,-2.2746099939851825,0.1787753769596455,-0.724382896459187,-1.261799920759827
