File Name,Part1_E,Part3_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,outer_y1,outer_y2,innerShape_x1,innerShape_x2
Part1_E(1.81)Part3_E(1.37)Part11_E(1.89),1.81,1.37,1.89,0.015,1.25,1.75,1.2577320655250586,1.258286789863145,-2.2650151004649413,-2.2655160935529626,0.1787367420678053,-0.7239513137536843
Part1_E(2.46)Part3_E(1.68)Part11_E(1.99),2.46,1.68,1.99,0.015,1.25,1.75,1.254606206222849,1.255004913047685,-2.2630413613344262,-2.263329516303781,0.1781481694998424,-0.7213141165846089
Part1_E(1.12)Part3_E(1.65)Part11_E(1.21),1.12,1.65,1.21,0.015,1.25,1.75,1.262527095261775,1.2630393291843338,-2.271468183192549,-2.2719194901806463,-0.177017256399325,0.7266877667573428
Part1_E(1.64)Part3_E(1.69)Part11_E(2.48),1.64,1.69,2.48,0.015,1.25,1.75,1.2529937133591311,1.2535274294821075,-2.261236837095631,-2.26186347299369,-0.1769427255055694,0.7250071162288082
Part1_E(1.56)Part3_E(1.51)Part11_E(2.21),1.56,1.51,2.21,0.015,1.25,1.75,1.255212700376728,1.255797962570731,-2.262935252146052,-2.263599799630309,0.1788584812061348,-0.7236587826526228
Part1_E(2.38)Part3_E(2.4)Part11_E(1.5),2.38,2.4,1.5,0.015,1.25,1.75,1.2536904206572583,1.253951440216104,-2.2641396207493103,-2.264376056236298,-0.176622046989491,0.7205760906340947
Part1_E(2.18)Part3_E(1.19)Part11_E(2.44),2.18,1.19,2.44,0.015,1.25,1.75,1.2549017017915651,1.2555082271116016,-2.2608994553696102,-2.261511342442082,0.1787183349253933,-0.7243922428616637
Part1_E(2.16)Part3_E(2.02)Part11_E(2.22),2.16,2.02,2.22,0.015,1.25,1.75,1.2522503279360178,1.2526366708297714,-2.261540980497351,-2.2618511553013274,-0.1767565812709469,0.7222990115774891
Part1_E(2.5)Part3_E(2.3)Part11_E(1.51),2.5,2.3,1.51,0.015,1.25,1.75,1.2540083227231462,1.2542710809237745,-2.264266324085652,-2.26450744198791,-0.1766417930414226,0.7207354760998264
Part1_E(1.8)Part3_E(2.26)Part11_E(1.92),1.8,2.26,1.92,0.015,1.25,1.75,1.2528499614710724,1.253210617230426,-2.2628195649831016,-2.263131532882628,-0.1767100575252023,0.7219435191997372
Part1_E(1.56)Part3_E(1.91)Part11_E(2.32),1.56,1.91,2.32,0.015,1.25,1.75,1.2528343206059889,1.2533115700319115,-2.2618047750228065,-2.2623500979641022,-0.1768662226428907,0.7240055716865831
Part1_E(1.21)Part3_E(1.21)Part11_E(2.17),1.21,1.21,2.17,0.015,1.25,1.75,1.2576271890912003,1.2584251087098597,-2.2639369071240334,-2.2649668748396388,0.1796166814182525,-0.7269374022810087
Part1_E(2.29)Part3_E(2.47)Part11_E(1.48),2.29,2.47,1.48,0.015,1.25,1.75,1.253550695804512,1.2538096147966855,-2.264133969790282,-2.2643668255261806,-0.1766089687905259,0.7204762766399541
Part1_E(1.59)Part3_E(1.37)Part11_E(1.12),1.59,1.37,1.12,0.015,1.25,1.75,1.265606385430683,1.266063398688984,-2.2734620394078977,-2.2739338330561245,0.178773099923625,-0.7244428575234506
Part1_E(1.47)Part3_E(2.34)Part11_E(1.41),1.47,2.34,1.41,0.015,1.25,1.75,1.2554581738453403,1.255797843625489,-2.2659032382298787,-2.2661593352490703,-0.1767068606006909,0.7221583330372435
Part1_E(2.21)Part3_E(2.27)Part11_E(2.01),2.21,2.27,2.01,0.015,1.25,1.75,1.252067760353148,1.252399853358212,-2.262006004552643,-2.2622449927228008,-0.1766768702073705,0.7212897149545888
Part1_E(2.25)Part3_E(2.01)Part11_E(1.98),2.25,2.01,1.98,0.015,1.25,1.75,1.2532474044193225,1.2536113722943436,-2.2626339851438453,-2.262898474959393,-0.1767468464680401,0.7221557677185354
Part1_E(1.97)Part3_E(2.49)Part11_E(1.54),1.97,2.49,1.54,0.015,1.25,1.75,1.25345305220655,1.2537547683025898,-2.264062189198474,-2.2642433047816657,-0.1766241083440491,0.7208417462175206
Part1_E(1.48)Part3_E(1.49)Part11_E(2.28),1.48,1.49,2.28,0.015,1.25,1.75,1.255031782513652,1.25564421268274,-2.2626406540862924,-2.2633723827280754,0.1789638606374226,-0.7239731368225815
Part1_E(1.38)Part3_E(2.28)Part11_E(1.74),1.38,2.28,1.74,0.015,1.25,1.75,1.2540548139408847,1.2544393167365688,-2.264172133943385,-2.264546528282988,-0.1767522322201055,0.7226614938994855
Part1_E(1.2)Part3_E(1.91)Part11_E(1.75),1.2,1.91,1.75,0.015,1.25,1.75,1.2561320035006585,1.2566189961877576,-2.265422141242535,-2.265961172791672,-0.1769177642686405,0.7249099684291402
Part1_E(1.55)Part3_E(1.8)Part11_E(1.18),1.55,1.8,1.18,0.015,1.25,1.75,1.2606648667988862,1.2610783501567673,-2.2700672799068617,-2.2704185153815035,-0.1768578316192777,0.7243350906899452
Part1_E(2.34)Part3_E(1.83)Part11_E(1.81),2.34,1.83,1.81,0.015,1.25,1.75,1.2548988084698685,1.2552876300714202,-2.2639140729104845,-2.264163910153259,-0.1767935762612054,0.7227181251871675
Part1_E(1.44)Part3_E(1.38)Part11_E(1.3),1.44,1.38,1.3,0.015,1.25,1.75,1.263572526996906,1.2641128332055656,-2.2713561748793545,-2.2717947039738933,0.1789504177442561,-0.7247796661767266
Part1_E(1.43)Part11_E(1.69),1.43,1.0,1.69,0.015,1.25,1.75,1.2630902131971102,1.2638773630978752,-2.2682081823735296,-2.269044368599081,0.1795152296325332,-0.7281838579244688
Part1_E(2.2)Part3_E(1.25)Part11_E(2.4),2.2,1.25,2.4,0.015,1.25,1.75,1.2548189743614613,1.2553968861930345,-2.261187307416448,-2.261749736152758,0.1786457317992565,-0.7239468272474077
Part1_E(1.45)Part3_E(2.24)Part11_E(1.92),1.45,2.24,1.92,0.015,1.25,1.75,1.2532943987851792,1.2536909536136844,-2.263229298771883,-2.263634167959571,-0.1767602397249055,0.7227047293552546
Part1_E(1.68)Part3_E(1.88)Part11_E(2.44),1.68,1.88,2.44,0.015,1.25,1.75,1.2523533570732637,1.252829792409364,-2.2611851036383515,-2.261723334305666,-0.1768618563299984,0.7238841679157524
Part1_E(1.79)Part3_E(1.01)Part11_E(2.02),1.79,1.01,2.02,0.015,1.25,1.75,1.259222624412654,1.2599463503087325,-2.264185899809496,-2.2649405796964666,0.1791633173227358,-0.7268268852374705
Part1_E(1.41)Part3_E(2.33)Part11_E(1.5),1.41,2.33,1.5,0.015,1.25,1.75,1.255060128236603,1.2554149361079383,-2.265426497895436,-2.2657106851635014,-0.1767223036111308,0.7223435080590291
Part1_E(1.03)Part3_E(2.31)Part11_E(1.99),1.03,2.31,1.99,0.015,1.25,1.75,1.2531389731724478,1.2535687543311695,-2.263174837889349,-2.263726409736048,-0.1768301310780064,0.723482597221377
Part1_E(1.96)Part3_E(1.61)Part11_E(1.74),1.96,1.61,1.74,0.015,1.25,1.75,1.2570185347399951,1.2574669699008565,-2.2653793177545336,-2.265729244865549,0.1784142472474568,-0.722324712726477
Part1_E(2.21)Part3_E(1.71)Part11_E(2.22),2.21,1.71,2.22,0.015,1.25,1.75,1.2535272797200043,1.253966678369646,-2.2619422863098,-2.262340724805995,-0.1768565445642533,0.7235724333079384
Part1_E(1.6)Part3_E(2.28)Part11_E(2.41),1.6,2.28,2.41,0.015,1.25,1.75,1.2510794319315983,1.2514798685956678,-2.2608509615963746,-2.261305069712,-0.1767428050844575,0.7223189715221333
Part1_E(2.05)Part3_E(2.33)Part11_E(1.44),2.05,2.33,1.44,0.015,1.25,1.75,1.2546602704770018,1.2549593653787294,-2.265043230061356,-2.265283058470996,-0.176655389743732,0.7212091965344888
Part1_E(2.28)Part3_E(2.3)Part11_E(1.9),2.28,2.3,1.9,0.015,1.25,1.75,1.252344345718836,1.2526605244428055,-2.262397681901333,-2.262608712710746,-0.1766620983849692,0.7210799995313815
Part1_E(1.96)Part3_E(1.29)Part11_E(1.78),1.96,1.29,1.78,0.015,1.25,1.75,1.258942742138494,1.259479301789625,-2.265885465875031,-2.266336139856377,0.178687873009176,-0.7241459737536889
Part1_E(2.34)Part3_E(1.22)Part11_E(2.14),2.34,1.22,2.14,0.015,1.25,1.75,1.2563916210649906,1.2569281578403455,-2.262711967944621,-2.263174927072228,0.1785689893933334,-0.7238805507815916
Part1_E(1.64)Part3_E(1.6)Part11_E(1.73),1.64,1.6,1.73,0.015,1.25,1.75,1.2575562496155983,1.2580551321229618,-2.2658996752742286,-2.266336841647936,0.1786425626883281,-0.7229627781460599
Part1_E(1.57)Part3_E(2.29)Part11_E(1.4),1.57,2.29,1.4,0.015,1.25,1.75,1.255658537137338,1.2559951641804306,-2.266017547127483,-2.2662601735694183,-0.1767077081988156,0.7221449687925743
Part1_E(1.2)Part3_E(2.09)Part11_E(2.36),1.2,2.09,2.36,0.015,1.25,1.75,1.2523151149595224,1.2527938701410082,-2.26171408229147,-2.2623459460908903,-0.1768774563980959,0.7240882163975614
Part1_E(1.82)Part3_E(2)Part11_E(1.72),1.82,2.0,1.72,0.015,1.25,1.75,1.2550377798301755,1.2554245681445608,-2.26456152810893,-2.2648584438073187,-0.1767789355740954,0.7228976654495628
Part1_E(2.36)Part3_E(1.14)Part11_E(1.46),2.36,1.14,1.46,0.015,1.25,1.75,1.2628159397567786,1.2632367045781892,-2.269012957981096,-2.269511274663121,0.1785464313139744,-0.7243704825493071
Part1_E(1.62)Part3_E(2.03)Part11_E(1.37),1.62,2.03,1.37,0.015,1.25,1.75,1.257322324951961,1.2576916569364538,-2.2671634366140823,-2.2674267254383595,-0.1767783880904231,0.7230981841206705
Part1_E(1.58)Part3_E(2.36)Part11_E(1.84),1.58,2.36,1.84,0.015,1.25,1.75,1.2530064346755685,1.253365538364264,-2.263212218654337,-2.263534176088497,-0.1767041360398788,0.72196393532952
Part1_E(1.11)Part3_E(1.57)Part11_E(1.05),1.11,1.57,1.05,0.015,1.25,1.75,1.2652471122940852,1.2657573549356873,-2.2740700049501488,-2.274477330793796,0.1790828264126448,-0.72443985881718
Part1_E(1.08)Part3_E(1.89)Part11_E(1.21),1.08,1.89,1.21,0.015,1.25,1.75,1.260508561490544,1.2609623976041962,-2.270153657458229,-2.2705569824784644,-0.1769260406430089,0.7252748643057383
Part1_E(1.78)Part3_E(1.53)Part11_E(1.39),1.78,1.53,1.39,0.015,1.25,1.75,1.2606228110169615,1.2610925570174298,-2.2689627397733543,-2.2692368170311723,0.1785378704139032,-0.7230505706463937
Part1_E(1.23)Part3_E(1.92)Part11_E(2.36),1.23,1.92,2.36,0.015,1.25,1.75,1.252963480337685,1.2534827457937214,-2.261948056336383,-2.2626276689776024,-0.1769341050763281,0.7248838516211018
Part1_E(2.05)Part3_E(1.97)Part11_E(1.46),2.05,1.97,1.46,0.015,1.25,1.75,1.2565361764249152,1.2568848611668977,-2.266140938814841,-2.2664340734278303,-0.1767580018411544,0.7225378324834386
